uid,article_count,articles,coordinate,e_description,e_title,f_count,is_node,latitude,location,longitude,mp_count,year_range,food,masterpiece
10,1,《过安乐山闻山上木叶有文如道士箓符云此山乃张道陵所寓二首》,"[4182, 4393]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,28.81776,合江,105.8378,0,1059年,,
11,2,"《渝州寄王道矩》
《江上看山》","[4275, 4263]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,29.571,重庆,106.5572,0,1059年,,
12,1,《涪州得山胡次子由韵》,"[4383, 4240]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,29.70943,涪陵,107.3962,0,1059年,,
13,2,"《失题二首》
《留题仙都观》","[4427, 4212]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,29.86953,丰都,107.7373,0,1059年,,
14,1,《屈原塔》,"[4467, 4137]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,30.30613,忠县,108.0442,0,1059年,,
15,1,《过木枥观》,"[4514, 4050]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,30.81362,万州,108.4153,0,1059年,,
16,6,"《诸葛亮八阵》
《诸葛盐井》
《滟滪堆赋》
《白帝庙》
《八阵碛》
《永乐宫》","[4650, 4014]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,31.02456,奉节,109.4705,0,1059年,,
17,2,"《题女唱驿》
《入峡》","[4704, 4004]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,31.08044,巫山,109.8853,0,1059年,,
18,1,《过巴东县不泊闻颇有莱公遗迹》,"[4763, 4010]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,31.04799,巴东,110.3473,0,1059年,,
19,3,"《雪诗八首》
《屈原庙赋》
《江上值雪，效歐陽體，限不以鹽玉鶴鷺絮蝶飛舞之類為比，仍不使皓白潔素等字，次子由韻》","[4845, 4047]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,30.83191,秭归,110.9841,0,1059年,,
20,3,"《游三游洞》
《寄题清溪寺》
《黄牛庙》","[4885, 4070]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,30.6976,宜昌,111.293,0,1059年,,
21,4,"《南行前集叙》
《南行集》
《和张均题峡山》
《上王兵部书》","[5010, 4135]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,30.31665,沙市,112.2615,0,1059年,,
22,21,"《论取郜大鼎于宋》
《论闰月不告朔犹朝于庙》
《朱亥墓》
《中庸论上》
《上刘侍读书》
《上富丞相书》
《论郑伯以璧假许田》
《论禘于太庙用致夫人》
《论好德锡之福》
《论齐侯卫侯胥命于蒲》
《论用郊》
《贺欧阳枢密启》
《南行后集》
《策略一》
《论黑肱以滥来奔》
《朱亥墓志》
《论郑伯克段于鄢》
《论春秋变周之文》
《与杨济甫十首》
《论会于澶渊宋灾故》
《策总叙》","[5274, 3366]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,34.80294,开封,114.3139,0,1060年,,
23,2,"《荆州十首》
《息壤诗》","[5010, 4135]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,30.31665,沙市,112.2615,0,1060年,,
24,2,"《浣溪沙》
《荆门惠泉》","[5003, 4011]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,31.04179,荆门,112.2058,0,1060年,,
25,1,《浰阳早发》,"[5053, 3988]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,31.174,钟祥,112.5946,0,1060年,,
26,1,《竹叶酒》,"[5010, 3894]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,31.72543,宜城,112.2644,0,1060年,,
27,4,"《食雉》
《汉水》
《鳊鱼》
《襄阳古乐府三首·野鹰来》","[4993, 3844]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,1,0,32.01479,襄阳,112.1291,0,1060年,"[{'f_title': '《食雉》', 'f_name': '野雉', 'f_content': '雄雉曳修尾，惊飞向日斜。\n空中纷格斗，綵羽落如花。\n喧呼勇不顾，投网谁复嗟。\n百钱得一双，新味时所佳。\n烹煎杂鸡骛，爪距漫槎牙。\n谁知化为蜃，海上落飞鸦。', 'f_description': '“野雉真漂亮啊，又美又飒。更关键的是花一百钱就能买两只，便宜又好吃。”', 'is_long': 0}]",
28,1,《新渠诗》,"[5081, 3729]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,32.68749,唐河,112.8139,0,1060年,,
29,2,"《昆阳城赋》
《双凫观》","[5152, 3566]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,33.63263,叶县,113.364,0,1060年,,
30,1,《颍大夫庙》,"[5171, 3528]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,33.85698,襄城,113.5131,0,1060年,,
31,2,"《跋怀素帖》
《许州西湖》","[5215, 3496]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,34.04174,许昌,113.8588,0,1060年,,
32,1,《阮籍啸台》,"[5259, 3432]",1057年，苏轼与弟弟苏辙一同进京参加会考，以一篇《刑赏忠厚之至论》的论文得到考官梅尧臣的青睐，后者将该文推荐给主试官欧阳修，欧阳修十分赞赏，原本欲拔擢为第一，但又怕该文为自己的门生曾巩所作，为了避嫌而列为第二，试卷拆封后才发现是苏轼所作。同年四月，苏轼母亲程氏去世，丁忧回乡。,一鸣惊人,0,0,34.41734,尉氏,114.1995,0,1060年,,
33,1,《次韵刘京兆石林亭之作石本唐苑中物散流民间刘购得之》,"[4583, 3444]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,1,34.34744,西安,108.9463,0,1061年,,
34,1,《和子由渑池怀旧》,"[4946, 3371]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.77306,渑池,111.7684,0,1061年,,
35,7,"《御试制科策一道》
《禄有重轻》
《贺杨龙图启》
《与友人一首》
《王者不治夷狄论》
《谢制科启二首》
《空冢小儿》","[5274, 3366]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.80294,开封,114.3139,0,1061年,,
36,1,《次韵水官诗》,"[5335, 3408]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.556,杞县,114.7894,0,1061年,,
37,1,《辛丑十一月十九日既与子由别于郑州西门之外马上赋诗一篇寄之》,"[5186, 3374]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.75349,郑州,113.6313,0,1061年,,
38,1,《凤翔八观·石鼓歌》,"[4384, 3413]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.52746,凤翔,107.4071,0,1061年,,
39,2,"《凤翔醮土火星青词》
《凤翔太白山祈雨祝文》","[4429, 3455]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.28038,眉县,107.7563,0,1062年,,
40,1,《永兴军秋试举人策问》,"[4583, 3444]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.34744,西安,108.9463,0,1062年,,
41,22,"《与子由六首》
《代宋选奏乞封太白山神状》
《岁晚相与馈问为馈岁……·馈岁》
《上蔡省主论放欠书》
《新葺小园二首》
《太白词》
《祭伯父提刑文》
《喜雨亭记》
《壬寅重九不预会独游普门寺僧阁有怀子由》
《次韵子由除日见寄》
《读开元天宝遗事三首》
《次韵子由岐下诗·北亭》
《壬寅二月有诏令郡吏分往属县减决囚禁……》
《凤鸣驿记》
《病中闻子由得告不赴商州三首》
《凤翔到任谢执政启》
《九月二十日微雪怀子由弟二首》
《与李彭年同送崔岐归二曲马上口占》
《与从叔一首》
《贺吴副枢启》
《真兴寺阁祷雨》
《病中大雪数日……》","[4384, 3413]",1061年，授大理评事，除签书凤翔判官。,初入仕途,1,0,34.52746,凤翔,107.4071,0,1062年,"[{'f_title': '《次韵子由岐下诗·梨》', 'f_name': '梨', 'f_content': '霜降红梨熟，柔柯已不胜。\n未尝蠲夏渴，长见助春冰。', 'f_description': '', 'is_long': 0}]",
42,1,《磻溪石》,"[4363, 3440]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.36775,宝鸡,107.2439,0,1062年,,
43,1,《二十七日自阳平至斜谷宿于南山中蟠龙寺》,"[4429, 3455]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.28038,眉县,107.7563,0,1063年,,
44,2,"《赠杨耆》
《扶风天和寺》","[4449, 3438]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.38143,扶风,107.9067,0,1063年,,
45,2,"《和刘长安题薛周逸老亭周善饮酒未七十而致仕》
《中隐堂诗》","[4583, 3444]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.34744,西安,108.9463,0,1063年,,
46,25,"《和子由闻子瞻将如终南太平宫溪堂读书》
《记所见开元寺吴道子画佛灭度以答子由题画文殊普贤》
《客位假寐》
《凌虚台记》
《吴鼎臣缴李京书》
《书摩诘蓝田烟雨图》
《次韵子由以诗见报编礼公借雷琴记旧曲》
《与蔡君谟一首》
《大老寺竹间阁子》
《思治论》
《题凤翔东院王画壁》
《贾充叛魏》
《送虢令赵荐》
《记关右壁间诗》
《答安师孟书》
《与蒲诚之六首》
《送张道士叙》
《次韵子由论书》
《同天节功德疏表》
《南溪有会景亭处众亭之间……》
《和子由踏青》
《上韩魏公论场务书》
《妒佳月》
《次韵和子由闻予善射》
《稼说》","[4384, 3413]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.52746,凤翔,107.4071,0,1063年,,
47,5,"《重游终南子由以诗见寄次韵》
《题宝鸡县斯飞阁》
《七月二十四日以久不雨出祷磻溪……》
《二十六日五更起行至磻溪天未明》
《和子由寒食》","[4363, 3440]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.36775,宝鸡,107.2439,0,1063年,,
48,5,"《将往终南和子由见寄》
《上清词》
《溪堂留题》
《十二月十四日夜微雪明日早往南溪小酌至晚》
《南溪之南竹林中新构一茅堂予以其所处最为深邃故名之曰避世堂》","[4490, 3474]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.16959,周至,108.2286,0,1063年,,
49,1,《是日至下马碛憩于北山僧舍有阁曰怀贤……》,"[4413, 3426]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.44964,岐山,107.6275,0,1063年,,
50,1,《自清平镇游楼观五郡大秦延生仙游往返四日得十一诗寄子由同作·仙游谭》,"[4429, 3455]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.28038,眉县,107.7563,0,1064年,,
51,3,"《跋醉道士图》
《书所作字后》
《题鲁公书草》","[4583, 3444]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.34744,西安,108.9463,1,1064年,,"[{'mp_title': '《和董传留别》', 'mp_content': '粗缯大布裹生涯，腹有诗书气自华。\n厌伴老儒烹瓠叶，强随举子踏槐花。\n囊空不办寻春马，眼乱行看择婿车。\n得意犹堪誇世俗，诏黄新湿字如鸦。', 'mp_description': '', 'is_long': 0}]"
52,2,"《骊山三绝句》
《华清引》","[4618, 3439]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.37295,临潼,109.2206,0,1064年,,
53,17,"《上皇帝书》
《记董传论诗》
《与陈殿直一首》
《渼陂鱼》
《谢张太原送蒲桃》
《凌虚台》
《与杨济甫十首》
《和子由木山引水二首》
《和子由记园中草木十一首》
《和子由苦寒见寄》
《华阴老妪》
《次韵和子由欲得骊山澄泥砚》
《与蒲诚之六首》
《记西邸诗》
《寄题兴州晁太守新开古东池》
《梦雪》
《竹𪕋》","[4384, 3413]",1061年，授大理评事，除签书凤翔判官。,初入仕途,1,0,34.52746,凤翔,107.4071,0,1064年,"[{'f_title': '《渼陂鱼》', 'f_name': '鱼', 'f_content': '霜筠细破为双掩，中有长鱼如卧剑。\n紫荇穿腮气惨悽，红鳞照座光磨闪。\n携来虽远鬣尚动，烹不待熟指先染。\n……', 'f_description': '“渼陂这个地方的鱼有多好吃？我还没拎回家，老远就把狗招来了。下锅还没煮熟，狗子就迫不及待下手了。”', 'is_long': 0}]",
54,3,"《自清平镇游楼观五郡大秦延生仙游往返四日得十一诗寄子由同作·楼观》
《司竹监烧苇园因招都巡检柴贻勖左藏以其徒会猎园下》
《二月十六日与张李二君游南溪……》","[4490, 3474]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.16959,周至,108.2286,0,1064年,,
55,1,《周公庙庙在岐山西北七八里……》,"[4413, 3426]",1061年，授大理评事，除签书凤翔判官。,初入仕途,0,0,34.44964,岐山,107.6275,0,1064年,,
56,8,"《与杜道源五首》
《赠蔡茂先》
《谢苏自之惠酒》
《谢吕龙图三首》
《入馆》
《学士院试孔子从先进论》
《贺吕副枢启》
《自书后》","[5274, 3366]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,1,34.80294,开封,114.3139,0,1065年,,
57,1,《岐梁唱和诗集》,"[5186, 3374]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,34.75349,郑州,113.6313,0,1065年,,
58,1,《华阴寄子由》,"[4731, 3405]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,34.57172,华阴,110.0987,0,1065年,,
59,1,《与蒲诚之六首》,"[4861, 3379]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,34.72676,陕县,111.1098,0,1065年,,
60,1,《送司勋子才丈赴梓州》,"[5274, 3366]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,34.80294,开封,114.3139,0,1066年,,
61,8,"《大池院题柱》
《猪母佛》
《书温公志文异圹之语》
《书摹本兰亭后》
《记汉讲堂》
《题》
《太白山神》
《池鱼自达》","[3927, 4176]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,30.08137,眉山,103.8551,0,1067年,,
62,1,《治易洞磨厓》,"[3916, 4266]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,29.55814,乐山,103.7719,0,1067年,,
63,1,《寿昌院留题》,"[4029, 4403]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,28.75761,宜宾,104.6481,0,1067年,,
64,1,《答许状元启》,"[4275, 4263]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,29.571,重庆,106.5572,0,1067年,,
65,1,《题云安下岩》,"[4551, 4029]",1065年，发妻王弗在汴京（今河南省开封市）去世，年二十七岁。,发妻去世,0,0,30.93674,云阳,108.7034,0,1067年,,
66,4,"《四菩萨阁记》
《祭刘原父文》
《亡妻王氏墓志铭》
《与曾子固二首》","[3927, 4176]",1068年，苏轼续娶王弗的堂妹王闰之为妻。同年，新即位的宋神宗召见王安石，开始酝酿变法。,娶王闰之,0,1,30.08137,眉山,103.8551,0,1068年,,
67,1,《油水颂》,"[3955, 4091]",1068年，苏轼续娶王弗的堂妹王闰之为妻。同年，新即位的宋神宗召见王安石，开始酝酿变法。,娶王闰之,0,0,30.57628,成都,104.0712,0,1068年,,
